mode,repeat,gpu_us
load,0,0.606000015978
load,0,0.588249997236
load,0,0.588750001043
load,0,0.590000010561
load,0,0.590500014368
load,0,0.597000005655
load,0,0.588499999139
load,0,0.582750013564
load,0,0.580749998335
load,1,4.82900021598
load,1,4.79175010696
load,1,4.80525009334
load,1,4.77975001559
load,1,4.79225022718
load,1,4.78825019673
load,1,4.78524994105
load,1,4.79099992663
load,1,4.77400003001
load,1,4.79099992663
load,1,4.77349990979
load,1,4.78674983606
load,1,4.76999999955
load,1,4.78499988094
load,1,4.78499988094
load,1,4.77949995548
load,1,4.77850018069
load,1,4.77650016546
load,1,4.78375004604
load,1,4.77050011978
load,1,4.78425016627
load,1,4.7862501815
load,1,4.76724980399
load,1,4.76900022477
load,1,4.77850018069
load,2,8.79300013185
load,2,8.78224987537
load,2,8.77100042999
load,2,8.77050030977
load,2,8.77125002444
load,2,8.76324996352
load,2,8.77175014466
load,2,8.78274999559
load,2,8.79300013185
load,2,8.77275038511
load,2,8.78675002605
load,2,8.77975020558
load,2,8.78449995071
load,2,8.77125002444
load,2,8.75450018793
load,2,8.76475032419
load,2,8.78825038671
load,2,8.75225011259
load,2,8.76324996352
load,2,8.78624990582
load,2,8.76499991864
load,2,8.77575017512
load,2,8.77050030977
load,2,8.78500007093
load,2,8.77649988979
load,4,16.9102493674
load,4,16.8767496943
load,4,16.8872494251
load,4,16.8795008212
load,4,16.895249486
load,4,16.8834999204
load,4,16.8590005487
load,4,16.880499199
load,4,16.9012509286
load,4,16.9034991413
load,4,16.8817508966
load,4,16.8927498162
load,4,16.8777499348
load,4,16.8892499059
load,4,16.8847497553
load,4,16.876000911
load,4,16.875250265
load,4,16.8705005199
load,4,16.9179998338
load,4,16.8849993497
load,4,16.8765000999
load,4,16.8884992599
load,4,16.8837495148
load,4,16.8970003724
load,4,16.8914999813
load,8,90.2250036597
load,8,90.1522487402
load,8,90.2144983411
load,8,90.0925025344
load,8,90.2064964175
load,8,90.0067463517
load,8,90.0714993477
load,8,90.1369974017
load,8,90.2025029063
load,8,90.1032537222
load,8,90.1487469673
load,8,90.1279971004
load,8,90.1945009828
load,8,90.1082530618
load,8,90.2569964528
load,8,90.115249157
load,8,90.1105031371
load,8,90.1102498174
load,8,90.1682525873
load,8,90.0840014219
load,8,90.0807529688
load,8,90.1150032878
load,8,90.3122499585
load,8,90.1307463646
load,8,90.1359990239
load,16,178.250744939
load,16,178.277507424
load,16,178.06699872
load,16,177.990496159
load,16,178.181499243
load,16,178.150996566
load,16,178.024500608
load,16,178.25050652
load,16,178.366497159
load,16,178.164497018
load,16,178.035244346
load,16,178.091496229
load,16,178.007498384
load,16,178.313747048
load,16,178.168743849
load,16,178.164750338
load,16,178.009256721
load,16,178.132995963
load,16,178.12025547
load,16,178.228244185
load,16,178.007006645
load,16,178.092256188
load,16,178.243756294
load,16,178.158253431
load,16,178.096503019
store,0,0.495749991387
store,0,0.469499995233
store,0,0.460500014015
store,0,0.474750006106
store,0,0.464999990072
store,0,0.460500014015
store,0,0.460500014015
store,0,0.477749999845
store,0,0.476499990327
store,0,0.476249988424
store,0,0.460749986814
store,0,0.46250000014
store,0,0.461999996332
store,0,0.466500001494
store,0,0.455250003142
store,0,0.464749988168
store,0,0.462249998236
store,0,0.467500009108
store,0,0.453499989817
store,0,0.469499995233
store,0,0.463250005851
store,0,0.470500002848
store,0,0.47599998652
store,0,0.470750004752
store,0,0.463000003947
store,1,5.70750003681
store,1,5.66950021312
store,1,5.65249985084
store,1,5.66074997187
store,1,5.64874988049
store,1,5.67399989814
store,1,5.68174989894
store,1,5.66824991256
store,1,5.68324979395
store,1,5.65874995664
store,1,5.65999979153
store,1,5.68075012416
store,1,5.66024985164
store,1,5.66799985245
store,1,5.67624997348
